kappa,gamma,method,mode,eigenvalue,spectral_radius,stationary_squared_tracking_error,lyapunov_max_abs_residual
1000.0,0.001,hb,22,22.229964825261945,0.9486832980505139,2.187742459233933e-05,3.3881317890172014e-21
1000.0,0.001,hb,23,25.59547922699536,0.9486832980505135,2.1303211480573914e-05,2.541098841762901e-21
1000.0,0.001,hb,24,29.4705170255181,0.9486832980505135,2.080942719624514e-05,1.6940658945086007e-21
1000.0,0.001,hb,25,33.93221771895328,0.9486832980505139,2.0386259712679095e-05,1.2705494208814505e-21
1000.0,0.001,hb,26,39.06939937054617,0.9486832980505138,2.0025308601119704e-05,1.2705494208814505e-21
1000.0,0.001,hb,27,44.98432668969446,0.9486832980505137,1.9719419765218108e-05,1.6940658945086007e-21
1000.0,0.001,hb,28,51.7947467923121,0.9486832980505137,1.9462545654593277e-05,1.0587911840678754e-22
1000.0,0.001,hb,29,59.63623316594643,0.9486832980505139,1.924962840904563e-05,4.235164736271502e-22
1000.0,0.001,hb,30,68.66488450043002,0.9486832980505139,1.9076503926926312e-05,1.0587911840678754e-21
1000.0,0.001,hb,31,79.06043210907697,0.9486832980505139,1.8939825386149408e-05,1.2705494208814505e-21
1000.0,0.001,hb,32,91.02981779915217,0.948683298050514,1.8837005298784482e-05,4.235164736271502e-22
1000.0,0.001,hb,33,104.81131341546852,0.948683298050514,1.876617578114968e-05,4.235164736271502e-22
1000.0,0.001,hb,34,120.67926406393289,0.948683298050514,1.8726167412378827e-05,1.6940658945086007e-21
1000.0,0.001,hb,35,138.94954943731375,0.9486832980505138,1.8716507893451043e-05,1.6940658945086007e-21
1000.0,0.001,hb,36,159.98587196060572,0.9486832980505139,1.873744278906468e-05,1.6940658945086007e-21
1000.0,0.001,hb,37,184.20699693267164,0.9486832980505139,1.8789982060138233e-05,1.6940658945086007e-21
1000.0,0.001,hb,38,212.09508879201903,0.9486832980505139,1.8875978062890208e-05,8.470329472543003e-22
1000.0,0.001,hb,39,244.205309454865,0.9486832980505139,1.8998243493146598e-05,1.6940658945086007e-21
1000.0,0.001,hb,40,281.1768697974231,0.9486832980505139,1.916072185534319e-05,1.1117307432712692e-21
1000.0,0.001,hb,41,323.74575428176433,0.9486832980505139,1.9368729188366272e-05,1.0058516248644817e-21
1000.0,0.001,hb,42,372.7593720314938,0.9486832980505135,1.9629295240394637e-05,1.2705494208814505e-21
1000.0,0.001,hb,43,429.1934260128778,0.9486832980505139,1.9951647198928994e-05,2.964615315390051e-21
