scenario,method,seed,dimension,horizon,batch_size,kappa,drift_step_norm,beta,gamma,label_noise_variance,tail_squared_tracking_error,final_squared_tracking_error,oracle
kappa_sweep,sgd,14,50,5000,256,30.0,0.01,0.0,0.03333333333333333,0.5,0.0024567341530204907,0.0034272919394856384,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,15,50,5000,256,30.0,0.01,0.0,0.03333333333333333,0.5,0.0024322359970780838,0.0020157948565234043,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,16,50,5000,256,30.0,0.01,0.0,0.03333333333333333,0.5,0.002426052594377391,0.0019555955626491856,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,17,50,5000,256,30.0,0.01,0.0,0.03333333333333333,0.5,0.0024404069522820735,0.0017163236094846852,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,18,50,5000,256,30.0,0.01,0.0,0.03333333333333333,0.5,0.0024598829046053837,0.002310038111593795,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,19,50,5000,256,30.0,0.01,0.0,0.03333333333333333,0.5,0.0023684268095102157,0.002463771711824921,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,0,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.02667843254256668,0.032301606306046685,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,1,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.027002643066396166,0.01510673808553255,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,2,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.028009863872248717,0.028658038716687213,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,3,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.027606998940002042,0.023377115749753558,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,4,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.028133326383711188,0.02735884264391945,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,5,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.0272089994441023,0.028745097761625853,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,6,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.02758059395049197,0.017686699013212435,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,7,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.029717779581930063,0.0368984180457456,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,8,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.027406627066146643,0.01755325022396228,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,9,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.02720639882714382,0.020773118538563926,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,10,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.027641750340042553,0.019797312828400845,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,11,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.027535441279908913,0.023331279159862214,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,12,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.028313352475683486,0.022127251716744713,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,13,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.027494234609414418,0.036618548028632444,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,14,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.026381264174554598,0.019899848259739717,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,15,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.028064087642932185,0.03198851695851899,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,16,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.02769447705327397,0.027968007225425397,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,17,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.026953761319916555,0.01485039085411744,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,18,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.0270939441329393,0.036903044459370433,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,19,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.02792733875874911,0.0204838176543971,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,0,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.008420997449093899,0.011477807659832312,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,1,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.00858062387392117,0.00962317392615595,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,2,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.008604668875481497,0.008743143318986185,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,3,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.008579946930750421,0.008863433701486085,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,4,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.008549114744376049,0.0129024213477011,Gaussian with exact least-squares mini-batch mean/covariance
