route,method,seed,dimension,horizon,batch_size,kappa,drift_step_norm,beta,gamma,label_noise_variance,tail_squared_tracking_error,final_squared_tracking_error,oracle
raw_minibatch,sgd,15,50,5000,256,1000.0,0.01,0.0,0.001,0.5,0.006384012776818168,0.006803352669572958,literal Gaussian-design raw mini-batch
raw_minibatch,sgd,16,50,5000,256,1000.0,0.01,0.0,0.001,0.5,0.007352478034596118,0.012242702636547987,literal Gaussian-design raw mini-batch
raw_minibatch,sgd,17,50,5000,256,1000.0,0.01,0.0,0.001,0.5,0.007151601008372929,0.009790513772877221,literal Gaussian-design raw mini-batch
raw_minibatch,sgd,18,50,5000,256,1000.0,0.01,0.0,0.001,0.5,0.007813375875800534,0.007728341476735781,literal Gaussian-design raw mini-batch
raw_minibatch,sgd,19,50,5000,256,1000.0,0.01,0.0,0.001,0.5,0.0065374765438953545,0.0019090176642002187,literal Gaussian-design raw mini-batch
raw_minibatch,hb,0,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0019512446254198199,0.0018922593602786917,literal Gaussian-design raw mini-batch
raw_minibatch,hb,1,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0019077081474389078,0.0019562504216836685,literal Gaussian-design raw mini-batch
raw_minibatch,hb,2,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.001899615232662541,0.001840013024046891,literal Gaussian-design raw mini-batch
raw_minibatch,hb,3,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.001883129223697363,0.0014164434135468683,literal Gaussian-design raw mini-batch
raw_minibatch,hb,4,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.001947111248823948,0.00273848995634052,literal Gaussian-design raw mini-batch
raw_minibatch,hb,5,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0018622993787765659,0.002139104867288116,literal Gaussian-design raw mini-batch
raw_minibatch,hb,6,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0019332720835094235,0.0016627012522359575,literal Gaussian-design raw mini-batch
raw_minibatch,hb,7,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0019995046034379043,0.0014093775242950055,literal Gaussian-design raw mini-batch
raw_minibatch,hb,8,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0018390430044408796,0.001718959012093646,literal Gaussian-design raw mini-batch
