beta,method,seed,dimension,horizon,mu,smoothness,condition_number,drift_step_norm,noise_std,gamma,stability_cap,gamma_within_cap,tail_squared_tracking_error,final_squared_tracking_error
0.9,nag,7,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.09972783055761009,0.10689391396583799
0.9,nag,8,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.08448464844719926,0.09552221750611585
0.9,nag,9,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.07584877399615975,0.0710209966095267
0.9,nag,10,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.0887044231061241,0.08944451323438564
0.9,nag,11,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.08230424569362717,0.06761138687492414
0.9,nag,12,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.08613375442494779,0.08716618015298534
0.9,nag,13,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.12846225359147254,0.1163960419500666
0.9,nag,14,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.10145652909410684,0.10439432423890378
0.9,nag,15,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.11647163329111489,0.1258503043659425
0.9,nag,16,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.09524769639485291,0.10104126834579454
0.9,nag,17,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.1032659056921056,0.0869413560000398
0.9,nag,18,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.09196184582942853,0.10855874817148083
0.9,nag,19,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.09313375416369293,0.11960207970543281
0.95,sgd,0,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0024742550624355973,0.0023801399632861733
0.95,sgd,1,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.002499138537166531,0.0019659853950613855
0.95,sgd,2,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.002305631769019906,0.0028397769306572293
0.95,sgd,3,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0025427225098306537,0.0017686671827384756
0.95,sgd,4,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0023070716137563786,0.0024043193427184693
0.95,sgd,5,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0024931158744149824,0.0020959000380800044
0.95,sgd,6,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0023547956174708646,0.0026628556271567636
0.95,sgd,7,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.002482571275345517,0.0018673681898119623
0.95,sgd,8,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0023850642040559263,0.002774388763361064
0.95,sgd,9,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0024146985224161137,0.002379171064461572
0.95,sgd,10,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0025017392310500773,0.001549443572195369
0.95,sgd,11,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0023640230209595503,0.0027574777930182057
0.95,sgd,12,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0025566887296256777,0.001989477413824769
0.95,sgd,13,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.002357648440747332,0.0026395852488924876
0.95,sgd,14,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.00261286159565296,0.0021376715516301147
0.95,sgd,15,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0025126691810475224,0.002179984497270956
0.95,sgd,16,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0024180087231713636,0.0023880452313671794
0.95,sgd,17,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.002542729059952902,0.0023097819235051924
0.95,sgd,18,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0024649211590525395,0.002362343399596285
0.95,sgd,19,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0023900878008722725,0.00290269175409216
0.95,hb,0,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.14168948672613693,0.18453249043265918
0.95,hb,1,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.13783401192680886,0.16663899382199415
0.95,hb,2,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.14165396878995404,0.17303480554060277
0.95,hb,3,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.14769671061949677,0.16590740089307646
0.95,hb,4,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.2092456370032754,0.2464066816195507
0.95,hb,5,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.14122170488667804,0.19411238384741417
0.95,hb,6,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.1848966130057783,0.17763681520248742
0.95,hb,7,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.1204497794988962,0.15289251597353404
0.95,hb,8,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.19356767070494,0.18610176244320997
0.95,hb,9,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.16287522024003342,0.18862848439404512
0.95,hb,10,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.15128626219746946,0.19423491953352665
0.95,hb,11,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.14260166951427602,0.15869041770093914
0.95,hb,12,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.13016265767539023,0.1380000791152224
0.95,hb,13,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.1440870426085228,0.16279628676779673
0.95,hb,14,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.12561602951285158,0.10479990708938768
0.95,hb,15,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.15214905020190317,0.17150575003621032
0.95,hb,16,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.11107620533820256,0.10754602373329317
0.95,hb,17,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.15554491618689387,0.16914529782780802
0.95,hb,18,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.14987874920777627,0.15630417349147874
